AlgorithmRepresentation,ExecutionTime
Ford-Fulkerson-DFS_AdjacencyMatrix,8109
Ford-Fulkerson-DFS_AdjacencyList,3455
Ford-Fulkerson-BFS_AdjacencyMatrix,411
Ford-Fulkerson-BFS_AdjacencyList,388
