AlgorithmRepresentation,ExecutionTime
Ford-Fulkerson-DFS_AdjacencyMatrix,20656
Ford-Fulkerson-DFS_AdjacencyList,16472
Ford-Fulkerson-BFS_AdjacencyMatrix,970
Ford-Fulkerson-BFS_AdjacencyList,1437
