Wierzcholki,Ford-Fulkerson-DFS20,Ford-Fulkerson-DFS60,Ford-Fulkerson-DFS99,Ford-Fulkerson-BFS20,Ford-Fulkerson-BFS60,Ford-Fulkerson-BFS99
100,14,21,30,1,2,2
250,211,386,467,12,26,28
300,292,710,799,21,44,51
400,638,1324,1677,48,96,135
500,1039,3154,3241,70,188,178
600,2074,4386,5042,137,304,324
800,4680,9856,11926,288,622,775
