VertexCount,Dijkstra_AdjacencyMatrix,Dijkstra_AdjacencyList,Bellman-Ford_AdjacencyMatrix,Bellman-Ford_AdjacencyList
100,0,0,2,0
250,0,0,34,9
300,0,0,58,15
400,0,0,142,68
500,1,0,271,82
600,1,0,456,170
800,3,0,1081,412
