Wierzcholki,Kruskal20,Kruskal60,Kruskal99,Prim20,Prim60,Prim99
100,0,0,0,0,0,0
250,2,16,10,0,0,0
300,4,30,21,0,0,0
400,11,89,61,0,0,0
500,23,192,148,0,0,0
600,47,377,301,0,1,1
800,138,1262,841,1,2,1
