AlgorithmRepresentation,ExecutionTime
Ford-Fulkerson-DFS_AdjacencyMatrix,18665
Ford-Fulkerson-DFS_AdjacencyList,11328
Ford-Fulkerson-BFS_AdjacencyMatrix,861
Ford-Fulkerson-BFS_AdjacencyList,907
